"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1";"C_Radial_D10_L20_P5";1;"100μ";;;
2;"C3";"C_Rect_L4_W2.5_P2.5";1;"10n";;;
3;"C4";"C_Radial_D10_L20_P5";1;"10µ";;;
4;"C5,C6,C2,C7,C9,C11";"C_Rect_L4_W2.5_P2.5";6;"100n";;;
5;"D1,D2";"Diode_DO-35_SOD27_Horizontal_RM10";2;"5,1V";;;
6;"P1";"Banana_Jack_1Pin";1;"DCLOAD+";;;
7;"P2";"Banana_Jack_1Pin";1;"DCLOAD-";;;
8;"P3,P4";"Pin_Header_Straight_1x15";2;"CONN_01X15";;;
9;"Q1";"TO-247_Horizontal_Neutral123_largePads";1;"IRFP250N";;;
10;"R1,R2";"Resistor_Horizontal_RM15mm";2;"100k";;;
11;"R3,R18,R21";"Resistor_Horizontal_RM15mm";3;"18k";;;
12;"R4,R19,R20,R23";"Resistor_Horizontal_RM15mm";4;"2k";;;
13;"R5,R25";"Resistor_Horizontal_RM15mm";2;"470";;;
14;"R6,R22";"Resistor_Horizontal_RM15mm";2;"1k";;;
15;"R7,R8,R9,R10,R11,R12,R13,R14,R15,R16";"Resistor_Horizontal_RM15mm";10;"1";;;
16;"R17";"Resistor_Horizontal_RM15mm";1;"10";;;
17;"U1";"DIP-14_W7.62mm_LongPads";1;"LMC6484";;;
18;"C8";"C_Radial_D10_L20_P5";1;"220µ";;;
19;"CON1";"JACK_ALIM";1;"BARREL_JACK";;;
20;"DS1";"WC1602A";1;"LCD16X2";;;
21;"R24";"Resistor_Horizontal_RM15mm";1;"680";;;
22;"RV1";"Potentiometer_Trimmer-Piher-PT15-h5_vertical";1;"10k";;;
23;"RV2";"Potentiometer_Trimmer-Piher-PT15-h5_vertical";1;"200";;;
24;"U2";"TO-220_Neutral123_Vertical";1;"LM7812";;;
25;"U3";"TO-220_Neutral123_Vertical";1;"LM317T";;;
